protein,pred_threshold,exp_threshold,n_failures,odds_ratio,p_value
NUDT15,0.2,0.7,327,2.900821785368998,1.1603327927284137e-13
NUDT15,0.2,0.8,264,2.9410377736787234,3.933477104689312e-12
NUDT15,0.2,0.9,180,3.4467274233637117,4.494538567463707e-12
NUDT15,0.3,0.7,419,2.474840272267925,9.005825276005e-12
NUDT15,0.3,0.8,335,2.50043509609408,2.2058928029604588e-10
NUDT15,0.3,0.9,233,2.8396359035636465,2.392283866064679e-10
NUDT15,0.4,0.7,469,2.217750257997936,8.646482751843941e-10
NUDT15,0.4,0.8,375,2.1907042253521127,2.1790638224249468e-08
NUDT15,0.4,0.9,262,2.4943470673040444,8.714711682508448e-09
