protein,n_matched,coverage_pct,spearman_r,spearman_p,pearson_a2a,pearson_raw,mae_a2a,mae_raw,enrichment_or,enrichment_p,enrichment_ci_low,enrichment_ci_high,pure_uniprot_or,pure_uniprot_p,pure_uniprot_n_sites,enrichment_or_raw,enrichment_p_raw,site_source,robust_direction,robust_significant,or_range,continuous_r,continuous_p,enrichment_p_fdr,enrichment_significant_fdr
PTEN,4112,93.26377863461103,0.48183387204988803,4.351030864696726e-238,0.4230353062910337,0.44451043228020537,0.44485782579103106,0.4878954798594246,2.6357936805295368,1.1886036735519477e-15,2.08935139853225,3.3251507291688367,1.0078679454912365,0.9232692889842684,64,2.6970670952189635,3.414852897808137e-16,manual_override,True,True,"[2.30, 3.31]",-0.057105255468616535,0.00024855520243641943,2.3772073471038955e-15,True
TPMT,3689,91.58391261171798,0.5515354498227696,1.0155900190719052e-292,0.5545113633980937,0.5663937277565817,0.30092522538037114,0.3028499029129666,1.9736674992591339,0.0002468381169036645,1.404677909337097,2.7731363693689213,,,17,2.080829454083792,9.772860500154148e-05,uniprot_auto,True,False,"[1.20, 4.18]",0.000844213251279667,0.9591201509177336,0.0002468381169036645,True
NUDT15,2922,99.2258064516129,0.4869019249290883,8.054678097857738e-174,0.5155134536529241,0.5237495766071039,0.2800574172052563,0.2809019924202874,2.1907042253521127,2.1790638224249468e-08,1.6837027726573521,2.8503754230927285,0.916833814842758,0.47476536226049393,112,2.2997058823529413,4.501878363532896e-09,manual_override,True,True,"[2.19, 3.45]",-0.06618601256939877,0.0003434432029039355,3.26859573363742e-08,True
ASPA,5843,94.99268411640384,0.48637168596208674,0.0,0.49380297753247226,0.5024782279955655,0.2893031546884991,0.28427771718301326,15.534183673469387,3.2644632358325986e-54,11.39141649903133,21.18356943770801,,,10,16.85934914506343,1.550723463767547e-56,uniprot_auto,True,True,"[14.47, 25.99]",-0.35488702675508477,5.399009913303364e-173,1.9586779414995593e-53,True
PRKN,8756,94.9886104783599,0.6372357211366275,0.0,0.6456849234791295,0.6693993085624501,0.27310597334333075,0.2684720180679827,0.1563595363373818,3.400365088199416e-16,0.08569739825025013,0.2852864276258196,1.907484505397208,7.171463646427282e-11,389,0.1654938066339679,5.8496020023341636e-15,manual_override,True,True,"[0.14, 0.29]",-0.029027356817586836,0.006600092507495936,1.0201095264598248e-15,True
VKORC1,2695,92.61168384879726,0.4834904224451044,6.263483801493755e-158,0.4854970858465586,0.4865571255908119,0.3129116851164201,0.3192484404572126,4.108111417202326,4.3446266180554016e-08,2.5785696399192664,6.5449383855603385,12.015358361774744,1.3087845895563834e-17,3,4.407168458781362,1.1566908158498981e-08,manual_override,True,True,"[4.03, 8.02]",-0.3731977886444869,8.08556459109652e-90,5.213551941666482e-08,True
