protein,pred_threshold,exp_threshold,n_failures,odds_ratio,p_value
TPMT,0.2,0.7,227,4.175503105590062,6.127673099064942e-14
TPMT,0.2,0.8,148,2.597197178197463,0.00010982883337409076
TPMT,0.2,0.9,81,2.1500805152979066,0.030416388622388924
TPMT,0.3,0.7,379,3.236301681054066,5.357005002254141e-13
TPMT,0.3,0.8,255,2.3709990855052583,1.4515570585904402e-05
TPMT,0.3,0.9,149,1.4806942167448698,0.1549222312481018
TPMT,0.4,0.7,505,2.6684116269458604,1.0381684196346003e-10
TPMT,0.4,0.8,344,1.9736674992591339,0.0002468381169036645
TPMT,0.4,0.9,213,1.1964838697032654,0.42771815472105434
