protein,pred_threshold,exp_threshold,n_failures,odds_ratio,p_value
VKORC1,0.2,0.7,269,7.255799755799756,7.399435308017112e-15
VKORC1,0.2,0.8,204,7.339636363636363,3.491521277367889e-13
VKORC1,0.2,0.9,148,8.022580645161291,3.5511194844245247e-12
VKORC1,0.3,0.7,360,5.024175824175824,5.880523691668845e-11
VKORC1,0.3,0.8,274,5.091948051948052,6.918964704824525e-10
VKORC1,0.3,0.9,191,5.853892215568862,9.625078734838858e-10
VKORC1,0.4,0.7,428,4.031261359505634,8.139234745402772e-09
VKORC1,0.4,0.8,326,4.108111417202326,4.3446266180554016e-08
VKORC1,0.4,0.9,219,4.955897435897436,1.6404232203833582e-08
