protein,pred_threshold,exp_threshold,n_failures,odds_ratio,p_value
PRKN,0.2,0.7,797,0.2935128594224648,9.887872810509183e-08
PRKN,0.2,0.8,642,0.29006408047957005,1.7517619715229098e-06
PRKN,0.2,0.9,464,0.25841318946653585,1.8948601438908698e-05
PRKN,0.3,0.7,1112,0.20051974347630264,4.903749340960852e-14
PRKN,0.3,0.8,904,0.19794537221870587,1.4803660648474874e-11
PRKN,0.3,0.9,648,0.1799047823981925,3.808225180203405e-09
PRKN,0.4,0.7,1367,0.1569540740165707,9.71771359396087e-20
PRKN,0.4,0.8,1110,0.1563595363373818,3.400365088199416e-16
PRKN,0.4,0.9,797,0.14312800087298122,2.5986131766313514e-12
