protein,pred_threshold,exp_threshold,n_failures,odds_ratio,p_value
ASPA,0.2,0.7,304,21.15932173057134,4.034543525301862e-64
ASPA,0.2,0.8,227,24.998879056047198,2.6748714399067754e-62
ASPA,0.2,0.9,162,25.993706347378925,1.2276465350741955e-51
ASPA,0.3,0.7,396,17.349406732891833,8.564860948467811e-62
ASPA,0.3,0.8,298,20.14089225886087,5.3746995303424775e-61
ASPA,0.3,0.9,205,22.441546009333493,1.2692883937542243e-53
ASPA,0.4,0.7,477,14.473146576117713,2.667775205889813e-57
ASPA,0.4,0.8,365,15.534183673469387,3.2644632358325986e-54
ASPA,0.4,0.9,243,17.956255343402677,2.9772494562938075e-49
