protein,pred_threshold,exp_threshold,n_failures,odds_ratio,p_value
PTEN,0.2,0.7,1168,3.3095120206854816,1.499662377750086e-23
PTEN,0.2,0.8,910,3.178947679924242,9.434126558313133e-21
PTEN,0.2,0.9,598,2.7872674268291595,2.567270455132007e-13
PTEN,0.3,0.7,1309,2.95199609051951,9.050703286906007e-20
PTEN,0.3,0.8,1018,2.8043951823821915,3.338003414891095e-17
PTEN,0.3,0.9,670,2.5091862682771775,2.206764479282146e-11
PTEN,0.4,0.7,1403,2.7807232370052684,4.96121086818735e-18
PTEN,0.4,0.8,1090,2.6357936805295368,1.1886036735519477e-15
PTEN,0.4,0.9,723,2.296496311907271,7.741780089193078e-10
